"Date","Price","Open","High","Low","Vol.","Change %"
"15-06-2014","25,105.51","25,239.50","25,609.28","25,056.18","60.45M","-0.49%"
"08-06-2014","25,228.17","25,543.60","25,725.12","25,171.61","67.81M","-0.66%"
"01-06-2014","25,396.46","24,368.96","25,419.14","24,270.20","85.83M","4.87%"
"25-05-2014","24,217.34","24,913.89","25,175.22","24,163.62","80.49M","-1.93%"
"18-05-2014","24,693.35","24,340.32","24,745.86","24,107.99","96.09M","2.37%"
"11-05-2014","24,121.74","23,031.11","25,375.63","23,008.65","92.64M","4.90%"
"04-05-2014","22,994.23","22,412.80","23,048.49","22,277.04","45.87M","2.63%"
"27-04-2014","22,403.89","22,717.59","22,721.36","22,284.96","30.57M","-1.25%"
"20-04-2014","22,688.07","22,644.75","22,939.31","22,636.75","32.84M","0.26%"
"13-04-2014","22,628.84","22,698.09","22,737.31","22,247.39","23.75M","0.00%"
"06-04-2014","22,628.96","22,355.56","22,792.49","22,197.51","33.62M","1.21%"
"30-03-2014","22,359.50","22,423.14","22,620.65","22,253.78","52.41M","0.09%"
"23-03-2014","22,339.97","21,752.44","22,363.97","21,725.52","47.81M","2.69%"
"16-03-2014","21,753.75","21,849.65","22,040.72","21,704.66","87.86M","-0.26%"
"09-03-2014","21,809.80","21,819.19","22,023.98","21,573.48","56.20M","-0.50%"
"02-03-2014","21,919.79","21,079.27","21,960.89","20,920.98","163.65M","3.79%"
"23-02-2014","21,120.12","20,695.48","21,140.51","20,637.30","41.94M","2.03%"
"16-02-2014","20,700.75","20,438.87","20,750.52","20,338.95","32.41M","1.64%"
"09-02-2014","20,366.82","20,429.16","20,516.60","20,149.01","43.54M","-0.05%"
"02-02-2014","20,376.56","20,479.03","20,480.35","19,963.12","48.26M","-0.67%"
